i,Cmax
1,72000
2,44607.6
3,259740
4,125000
5,175750
6,3420
7,365876
8,272100
9,75000
10,600000
11,11142.5
12,84681
13,43290044
14,100000
15,900000
16,164365
17,8280
18,2384412
19,254887
20,254887
21,129600
22,200340
23,272100
