t,wind
533,4.284
534,5.256
535,4.788
536,4.302
537,4.302
538,3.294
539,3.042
540,5.076
541,6.264
542,5.886
543,5.202
544,3.96
545,3.726
546,4.428
547,3.996
548,2.97
549,0.918
550,0.648
551,0.378
552,2.196
553,5.436
554,2.664
555,2.358
556,0.432
557,6.462
558,3.528
559,5.022
560,3.672
561,2.61
562,1.98
563,3.69
564,4.176
565,3.888
566,4.302
567,4.5
568,3.186
569,2.268
570,1.26
571,1.818
572,0.324
573,0.63
574,1.818
575,0.468
576,0.054
577,1.476
578,2.79
579,2.538
580,3.708
581,4.41
582,1.782
583,3.132
584,2.34
585,2.106
586,2.556
587,3.78
588,5.364
589,5.346
590,4.644
591,4.41
592,4.374
593,2.646
594,1.26
595,0.342
596,0
597,0.054
598,0
599,0.504
600,1.836
601,1.62
602,1.008
603,2.808
604,2.988
605,3.006
606,3.06
607,3.204
608,2.664
609,3.852
610,2.988
611,2.34
612,2.556
613,3.618
614,4.248
615,3.564
616,3.51
617,2.61
618,0.396
619,0.18
620,0.234
621,0.702
622,1.998
623,0.864
624,0.936
625,1.602
626,2.124
627,4.86
628,5.022
629,5.598
630,5.472
631,3.798
632,5.382
633,6.246
634,6.588
635,3.258
636,3.528
637,5.31
638,5.094
639,4.59
640,4.608
641,3.708
642,2.322
643,2.322
644,0.216
645,0.126
646,1.044
647,1.386
648,1.692
649,5.706
650,1.404
651,5.958
652,3.492
653,5.436
654,6.174
655,7.722
656,8.262
657,8.964
658,7.47
659,3.168
660,4.284
661,4.878
662,5.238
663,5.292
664,3.816
665,1.548
666,0.27
667,0
668,0
669,0
670,0.036
671,1.26
672,0.18
673,0.036
674,0
675,0
676,1.152
677,3.798
678,2.754
679,2.196
680,1.818
681,2.034
682,1.674
683,1.71
684,3.564
685,4.284
686,4.572
687,5.4
688,5.904
689,5.688
690,4.518
691,3.204
692,2.43
693,1.674
694,1.386
695,0.36
696,1.278
697,2.466
698,3.132
699,1.494
700,2.682
701,3.006
702,3.996
703,2.25
704,3.798
705,5.922
706,6.426
707,4.464
708,4.05
709,5.796
710,7.794
711,7.308
712,6.804
713,5.526
714,3.546
715,2.088
716,1.404
717,0.81
718,0.486
719,0.666
720,2.538
721,3.762
722,4.644
723,0.432
724,0.522
725,1.278
726,4.176
727,0.99
728,0.648
729,2.016
730,1.458
731,3.582
732,4.644
733,5.148
734,6.984
735,6.642
736,5.328
737,3.996
738,2.79
739,0.45
740,0
741,0.252
742,0.612
743,0.288
744,0.324
745,0.288
746,0.018
747,0.864
748,2.052
749,0.27
750,0.144
751,0.126
752,1.278
753,0.612
754,1.08
755,4.176
756,5.544
757,3.24
758,3.456
759,4.284
760,3.366
761,3.276
762,0.63
763,0
764,0.018
765,0.036
766,0.306
767,1.512
768,5.94
769,8.172
770,6.282
771,4.824
772,0.81
773,1.962
774,1.26
775,2.628
776,6.426
777,6.03
778,4.428
779,3.96
780,5.094
781,4.698
782,5.472
783,5.022
784,3.78
785,2.52
786,0.864
787,0
788,0
789,0.072
790,0.018
791,0
792,0
793,0.054
794,0.45
795,0.936
796,1.494
797,3.15
798,1.08
799,1.314
800,0.36
801,1.584
802,3.492
803,4.446
804,4.194
805,4.122
806,3.24
807,2.79
808,3.51
809,1.206
810,2.466
811,1.08
812,2.502
813,3.96
814,3.42
815,1.962
816,3.042
817,3.24
818,2.502
819,4.338
820,3.492
821,3.726
822,3.096
823,2.88
824,6.66
825,5.4
826,9.45
827,8.496
828,8.568
829,9.738
830,8.694
831,8.856
832,9.882
833,9.648
834,7.56
835,4.482
836,4.212
837,1.656
838,3.114
839,2.16
840,3.528
841,3.6
842,2.556
843,4.68
844,4.932
845,5.742
846,4.086
847,7.092
848,8.586
849,7.992
850,7.614
851,7.668
852,5.58
853,7.47
854,7.866
855,7.668
856,6.624
857,6.03
858,4.572
859,5.112
860,3.816
861,3.402
862,1.584
863,2.07
864,0.738
865,3.15
866,4.626
867,5.13
868,3.546
869,1.08
870,0.072
871,1.422
872,0.72
873,0.666
874,0.9
875,1.782
876,2.718
877,4.734
878,6.228
879,6.156
880,6.048
881,6.822
882,4.896
883,3.744
884,6.354
885,9.072
886,9.702
887,12.726
888,13.248
889,9.99
890,12.222
891,12.582
892,12.708
893,11.304
894,16.02
895,16.758
896,16.02
897,11.538
898,2.484
899,4.572
900,7.992
901,7.884
902,7.272
903,6.084
904,4.896
905,4.788
906,5.472
907,3.492
908,1.044
909,0.396
910,0.126
911,2.196
912,5.886
913,5.04
914,0.972
915,0.81
916,0.504
917,0.432
918,4.302
919,3.798
920,0.216
921,0.612
922,0.288
923,3.096
924,5.076
925,6.066
926,6.246
927,5.796
928,3.582
929,2.376
930,0.072
931,0.378
932,0.252
933,0.198
934,0.198
935,0.684
936,0.072
937,0.648
938,0.468
939,0.99
940,1.368
941,2.304
942,1.152
943,0.486
944,2.484
945,1.926
946,2.124
947,5.904
948,8.514
949,12.582
950,12.024
951,10.764
952,10.44
953,9.414
954,7.2
955,5.004
956,1.188
957,2.214
958,9.54
959,9.324
960,6.678
961,5.472
962,7.074
963,5.184
964,6.408
965,4.248
966,1.89
967,1.962
968,0.99
969,0.882
970,2.916
971,3.204
972,3.33
973,10.836
974,12.51
975,11.664
976,10.17
977,10.35
978,11.808
979,9
980,7.272
981,6.48
982,1.728
983,0.81
984,0.918
985,1.026
986,0.738
987,0.216
988,0.846
989,1.08
990,0.738
991,1.332
992,0.864
993,3.33
994,13.554
995,12.582
996,17.748
997,15.444
998,16.578
999,13.716
1000,14.436
1001,14.202
1002,10.98
1003,6.444
1004,3.006
1005,2.628
1006,4.14
1007,4.302
1008,1.17
1009,1.044
1010,0.99
1011,0.576
1012,0.792
1013,0.342
1014,0.63
1015,1.206
1016,1.278
1017,1.548
1018,4.23
1019,7.686
1020,10.98
1021,12.366
1022,14.742
1023,15.606
1024,19.458
1025,16.506
1026,18.468
1027,17.586
1028,13.302
1029,12.384
1030,9.558
1031,9.522
1032,8.406
1033,9
1034,4.122
1035,2.304
1036,1.476
1037,2.178
1038,2.16
1039,2.952
1040,9.468
1041,10.98
1042,12.492
1043,13.338
1044,15.912
1045,18.468
1046,18.72
1047,18.594
1048,17.388
1049,16.038
1050,15.75
1051,12.042
1052,13.05
1053,13.77
1054,16.11
1055,19.242
1056,22.932
1057,24.192
1058,20.16
1059,19.476
1060,16.398
1061,15.588
1062,17.982
1063,12.348
1064,4.842
1065,8.37
1066,15.066
1067,14.328
1068,17.766
1069,22.248
1070,14.598
1071,13.122
1072,15.75
1073,13.356
1074,13.158
1075,9.234
1076,8.514
1077,7.092
1078,8.694
1079,12.456
1080,11.376
1081,6.93
1082,10.188
1083,3.006
1084,7.452
1085,7.128
1086,8.172
1087,3.744
1088,5.724
1089,9.054
1090,12.042
1091,10.638
1092,9.954
1093,6.354
1094,8.586
1095,7.74
1096,5.13
1097,6.426
1098,8.694
1099,6.66
1100,7.992
1101,7.236
1102,3.708
1103,4.554
1104,2.466
1105,8.532
1106,11.7
1107,13.5
1108,13.464
1109,11.736
1110,12.978
1111,12.348
1112,13.446
1113,11.826
1114,11.196
1115,7.83
1116,3.348
1117,6.3
1118,7.002
1119,7.2
1120,6.48
1121,5.274
1122,3.114
1123,1.746
1124,2.556
1125,0.45
1126,0.234
1127,0.504
1128,0.432
1129,2.538
1130,5.436
1131,3.294
1132,0.9
1133,3.978
1134,3.438
1135,2.79
1136,5.4
1137,3.654
1138,4.086
1139,6.588
1140,7.524
1141,10.242
1142,13.194
1143,15.516
1144,17.28
1145,16.506
1146,14.076
1147,11.466
1148,6.138
1149,4.77
1150,2.376
1151,0.414
1152,0.972
1153,1.908
1154,0.54
1155,0.288
1156,0.072
1157,0.216
1158,0.99
1159,0.918
1160,1.17
1161,2.088
1162,2.34
1163,1.62
1164,3.438
1165,5.49
1166,8.424
1167,9.252
1168,8.424
1169,8.46
1170,7.074
1171,5.04
1172,6.048
1173,3.132
1174,0.306
1175,1.692
1176,1.674
1177,1.926
1178,1.62
1179,3.42
1180,4.752
1181,6.75
1182,5.328
1183,3.762
1184,3.348
1185,5.796
1186,9.054
1187,7.578
1188,9.36
1189,12.438
1190,15.372
1191,12.978
1192,13.482
1193,12.708
1194,10.836
1195,8.982
1196,6.858
1197,6.228
1198,4.86
1199,6.264
1200,6.012
1201,4.14
1202,4.608
1203,6.3
1204,5.346
1205,7.56
1206,11.754
1207,13.194
1208,13.734
1209,13.428
1210,13.716
1211,14.166
1212,14.814
1213,14.238
1214,15.786
1215,15.768
1216,15.246
1217,13.032
1218,9.18
1219,3.69
1220,4.5
1221,7.92
1222,5.958
1223,6.84
1224,8.802
1225,7.974
1226,6.048
1227,5.58
1228,6.426
1229,6.012
1230,5.364
1231,5.796
1232,7.362
1233,5.958
1234,6.696
1235,5.688
1236,5.094
1237,4.788
1238,5.328
1239,5.688
1240,5.814
1241,6.282
1242,6.03
1243,5.436
1244,8.748
1245,8.172
1246,11.7
1247,10.512
1248,9.072
1249,5.652
1250,2.25
1251,0.684
1252,0.072
1253,0.81
1254,1.53
1255,1.152
1256,0.396
1257,1.872
1258,1.944
1259,3.366
1260,4.356
1261,5.238
1262,6.588
1263,9.162
1264,9.234
1265,7.704
1266,4.14
1267,1.512
1268,1.584
1269,1.386
1270,1.692
1271,1.422
1272,1.206
1273,0.684
1274,0.954
1275,1.332
1276,0.99
1277,1.35
1278,0.36
1279,0.792
1280,0.792
1281,1.296
1282,1.854
1283,3.456
1284,3.114
1285,4.842
1286,5.652
1287,5.508
1288,3.906
1289,4.086
1290,3.762
1291,3.222
1292,3.312
1293,1.476
1294,0.306
1295,0.09
1296,0.108
1297,0.324
1298,1.008
1299,1.17
1300,0.684
1301,1.008
1302,0.63
1303,1.89
1304,1.494
1305,1.35
1306,5.148
1307,6.12
1308,9.054
1309,9.36
1310,11.466
1311,16.866
1312,13.032
1313,14.508
1314,15.156
1315,11.412
1316,8.19
1317,7.632
1318,5.94
1319,3.546
1320,7.326
1321,7.632
1322,9.036
1323,3.942
1324,1.53
1325,1.278
1326,0.756
1327,1.908
1328,2.358
1329,4.41
1330,3.528
1331,6.354
1332,8.91
1333,8.046
1334,8.226
1335,8.82
1336,10.53
1337,9.396
1338,7.47
1339,4.284
1340,1.494
1341,0.864
1342,0.756
1343,0.774
1344,1.35
1345,2.124
1346,2.772
1347,3.132
1348,0.288
1349,0.216
1350,0.378
1351,0.306
1352,0.972
1353,1.332
1354,3.204
1355,4.626
1356,7.506
1357,10.962
1358,12.456
1359,13.392
1360,16.146
1361,18.702
1362,16.902
1363,12.834
1364,13.14
1365,14.616
1366,12.78
1367,13.266
1368,8.91
1369,7.218
1370,1.53
1371,1.116
1372,6.39
1373,5.76
1374,3.96
1375,7.848
1376,11.016
1377,13.23
1378,10.602
1379,7.002
1380,9.216
1381,11.34
1382,6.192
1383,3.348
1384,3.564
1385,4.212
1386,7.398
1387,10.854
1388,7.65
1389,7.83
1390,8.118
1391,7.776
1392,5.94
1393,4.05
1394,3.042
1395,0.72
1396,1.26
1397,3.816
1398,9.054
1399,3.96
1400,3.114
1401,1.962
1402,3.294
1403,5.742
1404,6.408
1405,8.064
1406,11.448
1407,8.658
1408,7.668
1409,9.738
1410,9.576
1411,7.902
1412,4.374
1413,2.808
1414,0.414
1415,2.268
1416,4.392
1417,2.502
1418,2.178
1419,8.622
1420,2.862
1421,2.934
1422,3.816
1423,3.816
1424,5.562
1425,6.678
1426,12.69
1427,15.264
1428,9.396
1429,10.458
1430,6.912
1431,5.58
1432,9.108
1433,12.708
1434,9.954
1435,12.006
1436,6.012
1437,3.654
1438,2.448
1439,1.188
1440,3.276
1441,0.738
1442,1.008
1443,2.502
1444,3.708
1445,3.654
1446,4.95
1447,5.886
1448,6.822
1449,6.012
1450,6.156
1451,5.868
1452,6.03
1453,5.76
1454,6.48
1455,5.544
1456,5.31
1457,3.924
1458,1.728
1459,0.108
1460,0.018
1461,1.044
1462,0.99
1463,0.486
1464,1.224
1465,3.384
1466,2.106
1467,0.504
1468,0.558
1469,0.63
1470,0.198
1471,0.36
1472,0.504
1473,1.692
1474,4.14
1475,5.13
1476,6.516
1477,6.732
1478,6.498
1479,5.904
1480,5.094
1481,3.69
1482,1.98
1483,0.216
1484,0.216
1485,0.576
1486,0.666
1487,0.864
1488,0.828
1489,0.216
1490,1.224
1491,0.738
1492,0.774
1493,0.576
1494,0.612
1495,1.26
1496,1.224
1497,3.078
1498,2.916
1499,4.86
1500,6.3
1501,9.144
1502,7.65
1503,5.598
1504,5.382
1505,4.284
1506,2.412
1507,0.234
1508,0.612
1509,1.296
1510,1.296
1511,0.972
1512,0.486
1513,1.242
1514,5.94
1515,6.3
1516,4.698
1517,9.036
1518,2.196
1519,5.274
1520,2.934
1521,2.862
1522,3.204
1523,5.166
1524,6.624
1525,7.65
1526,8.334
1527,8.28
1528,7.614
1529,11.61
1530,13.122
1531,11.25
1532,7.722
1533,3.528
1534,1.08
1535,1.314
1536,1.44
1537,1.71
1538,7.92
1539,4.662
1540,1.278
1541,1.638
1542,3.024
1543,2.358
1544,9.324
1545,9.432
1546,6.624
1547,6.12
1548,7.128
1549,9.09
1550,9.378
1551,10.584
1552,11.754
1553,9.684
1554,9.756
1555,3.654
1556,0.864
1557,0.666
1558,3.276
1559,9.99
1560,10.764
1561,9.612
1562,7.002
1563,3.24
1564,2.124
1565,1.368
1566,1.962
1567,1.476
1568,1.62
1569,7.146
1570,6.066
1571,6.336
1572,6.984
1573,8.064
1574,9.342
1575,10.458
1576,9.612
1577,8.586
1578,6.498
1579,2.592
1580,0.18
1581,2.412
1582,6.048
1583,2.664
1584,5.274
1585,4.428
1586,5.058
