t,D
640,370085
641,371658
642,388307
643,410993
644,414372
645,407944
646,377425
647,342218
648,314676
649,289516
650,274423
651,268673
652,267970
653,272890
654,299138
655,349994
656,384227
657,392257
658,396886
659,397993
660,395291
661,396383
662,385379
663,379274
664,377132
665,379389
666,393330
667,413596
668,415551
669,407603
670,377047
671,342914
672,315715
673,292519
674,276408
675,269932
676,268259
677,274515
678,300467
679,348673
680,382552
681,393037
682,400435
683,400795
684,396472
685,394448
686,380242
687,372756
688,369036
689,368392
690,380200
691,401324
692,401071
693,395799
694,372183
695,341605
696,319657
697,296363
698,278747
699,268275
700,262786
701,262857
702,265925
703,281380
704,301109
705,332034
706,354463
707,355998
708,349168
709,345413
710,337906
711,323509
712,314804
713,312100
714,331068
715,354969
716,363990
717,366278
718,350015
719,326121
720,299334
721,274741
722,263725
723,254635
724,248134
725,247944
726,251769
727,258197
728,265091
729,283986
730,306437
731,315302
732,313553
733,315427
734,314371
735,297950
736,290399
737,288912
738,305986
739,339664
740,354327
741,356217
742,347138
743,321384
744,289784
745,267381
746,253989
747,249437
748,250021
749,259562
750,290930
751,345478
752,380085
753,390344
754,392863
755,389495
756,386362
757,383932
758,369772
759,361786
760,358586
761,357999
762,371047
763,400939
764,406692
765,400945
766,371064
767,335280
768,309815
769,288469
770,274695
771,269595
772,267725
773,273338
774,300415
775,350871
776,384624
777,392930
778,395437
779,391625
780,387207
781,384643
782,371651
783,364212
784,361163
785,363216
786,376051
787,404435
788,408136
789,403296
790,373287
791,336589
792,311251
793,289082
794,275370
795,269484
796,268140
797,275034
798,301571
799,352765
800,385841
801,393819
802,396335
803,394906
804,390001
805,388662
806,375380
807,367770
808,364692
809,365420
810,377141
811,406227
812,412053
813,403846
814,372739
815,339280
816,312765
817,291283
818,277378
819,271199
820,268700
821,275939
822,302634
823,353244
824,386078
825,395030
826,398748
827,393574
828,390145
829,388123
830,375060
831,366890
832,365165
833,364962
834,377011
835,407511
836,413086
837,406629
838,377829
839,343698
840,316715
841,292883
842,278476
843,272962
844,270852
845,276006
846,303182
847,357842
848,391475
849,402223
850,405947
851,400975
852,393587
853,391627
854,376835
855,366556
856,361972
857,361405
858,372001
859,400224
860,401947
861,395830
862,371583
863,340965
864,319061
865,296158
866,278285
867,267855
868,264438
869,264058
870,270816
871,287047
872,303796
873,334700
874,360977
875,364534
876,356044
877,355071
878,346368
879,330656
880,322340
881,319638
882,331591
883,356339
884,362191
885,362541
886,346841
887,324065
888,300447
889,277430
890,259261
891,246974
892,243164
893,243509
894,248013
895,252944
896,258054
897,281342
898,304495
899,318110
900,316592
901,321219
902,318691
903,305271
904,300469
905,294677
906,306107
907,338792
908,355076
909,359709
910,349913
911,325483
912,296281
913,272775
914,258939
915,253634
916,253059
917,261339
918,290892
919,341837
920,373433
921,390705
922,400057
923,398674
924,393568
925,392157
926,380451
927,372151
928,368584
929,369230
930,377427
931,402706
932,408611
933,402810
934,375077
935,341101
936,314400
937,292013
938,279628
939,272399
940,270297
941,277054
942,302477
943,350686
944,378333
945,391655
946,398444
947,398877
948,395782
949,394869
950,383014
951,375645
952,371723
953,374334
954,382853
955,407808
956,411332
957,404425
958,374462
959,339757
960,313957
961,289023
962,276483
963,269679
964,268593
965,275404
966,302910
967,353892
968,381613
969,392872
970,398480
971,399145
972,397851
973,397294
974,383819
975,377316
976,376365
977,376658
978,382615
979,404109
980,407219
981,400280
982,371474
983,335451
984,307604
985,291522
986,277593
987,272539
988,270726
989,277556
990,304022
991,354254
992,382778
993,393472
994,398313
995,397746
996,396265
997,395471
998,382592
999,374688
1000,370320
1001,370002
1002,376354
1003,403843
1004,408057
1005,402227
1006,374537
1007,339767
1008,316449
1009,296193
1010,280673
1011,274871
1012,272884
1013,278116
1014,303200
1015,352715
1016,379968
1017,391393
1018,397704
1019,400002
1020,399475
1021,397606
1022,384150
1023,375476
1024,371131
1025,369010
1026,374981
1027,396056
1028,396859
1029,390318
1030,366286
1031,339752
1032,320287
1033,298537
1034,281142
1035,272608
1036,268342
1037,266998
1038,272451
1039,285650
1040,299242
1041,326089
1042,350659
1043,355665
1044,349555
1045,352190
1046,343238
1047,326139
1048,319367
1049,318837
1050,325512
1051,350310
1052,356602
1053,355002
1054,339351
1055,317986
1056,298631
1057,274220
1058,257989
1059,251346
1060,247532
1061,247748
1062,252109
1063,258121
1064,260411
1065,283896
1066,307523
1067,320721
1068,323091
1069,324918
1070,322673
1071,308681
1072,298845
1073,297398
1074,312441
1075,341032
1076,358959
1077,363448
1078,352683
1079,329968
1080,306090
1081,284722
1082,270498
1083,262565
1084,260102
1085,269252
1086,301751
1087,354833
1088,389116
1089,405222
1090,410594
1091,409383
1092,407896
1093,407028
1094,393980
1095,386663
1096,383364
1097,382287
1098,388219
1099,418470
1100,425835
1101,418519
1102,389507
1103,350916
1104,325017
1105,299905
1106,287011
1107,281943
1108,279216
1109,284130
1110,313890
1111,366784
1112,401006
1113,415765
1114,418742
1115,414131
1116,411524
1117,408699
1118,391586
1119,382554
1120,380545
1121,381645
1122,387017
1123,419993
1124,432087
1125,427807
1126,395816
1127,356889
1128,326679
1129,302906
1130,286947
1131,280621
1132,280272
1133,286050
1134,314687
1135,370526
1136,404080
1137,418008
1138,424248
1139,421616
1140,415769
1141,414613
1142,399781
1143,392995
1144,391335
1145,392083
1146,399047
1147,431174
1148,439655
1149,429497
1150,397365
1151,360747
1152,330800
1153,303401
1154,290131
1155,284092
1156,283590
1157,289481
1158,315998
1159,366175
1160,399320
1161,415903
1162,422306
1163,423106
1164,419662
1165,419581
1166,406330
1167,399645
1168,399659
1169,400008
1170,402294
1171,430893
1172,438879
1173,430812
1174,400082
1175,360778
1176,331904
1177,305938
1178,290313
1179,284387
1180,282355
1181,288877
1182,316506
1183,367275
1184,399896
1185,415650
1186,421431
1187,420760
1188,414815
1189,412063
1190,396964
1191,386699
1192,382067
1193,378701
1194,381157
1195,411497
1196,418742
1197,414242
1198,388075
1199,357273
1200,329935
1201,305879
1202,287252
1203,276244
1204,272090
1205,270251
1206,276305
1207,290823
1208,309066
1209,342724
1210,364613
1211,367570
1212,361725
1213,357715
1214,348361
1215,333297
1216,325347
1217,318699
1218,325127
1219,357945
1220,372793
1221,374366
1222,359212
1223,334889
1224,309769
1225,282323
1226,265436
1227,256923
1228,254721
1229,255062
1230,259748
1231,265980
1232,271780
1233,297762
1234,316163
1235,323549
1236,320935
1237,321209
1238,321021
1239,307642
1240,298286
1241,295666
1242,305061
1243,340539
1244,361635
1245,366160
1246,353739
1247,326769
1248,296676
1249,275462
1250,262724
1251,258399
1252,257845
1253,266444
1254,300051
1255,352895
1256,385018
1257,400347
1258,405985
1259,401441
1260,395814
1261,392987
1262,377678
1263,367643
1264,365387
1265,363889
1266,368469
1267,400146
1268,410573
1269,405943
1270,377011
1271,340909
1272,313992
1273,292063
1274,279473
1275,273752
1276,273121
1277,279387
1278,305216
1279,356362
1280,383510
1281,395023
1282,398699
1283,394634
1284,389388
1285,388700
1286,374717
1287,364912
1288,362273
1289,359766
1290,361152
1291,396550
1292,412444
1293,408665
1294,376800
1295,341365
1296,316521
1297,295290
1298,280791
1299,277104
1300,275500
1301,280239
1302,307849
1303,358375
1304,385687
1305,398206
1306,401800
1307,399088
1308,394636
1309,394411
1310,381118
1311,373893
1312,369952
1313,369811
1314,374029
1315,403657
1316,411948
1317,405406
1318,374004
1319,340055
1320,317520
1321,293720
1322,280230
1323,274988
1324,273271
1325,280044
1326,307475
1327,355264
1328,379589
1329,392085
1330,394187
1331,392489
1332,390358
1333,389760
1334,376494
1335,369964
1336,365901
1337,367390
1338,369470
1339,399210
1340,409278
1341,403162
1342,376080
1343,342891
1344,317558
1345,295526
1346,280958
1347,274743
1348,274145
1349,280180
1350,308706
1351,353641
1352,381053
1353,397382
1354,403365
1355,404816
1356,403632
1357,403247
1358,391759
1359,382331
1360,381321
1361,381992
1362,385959
1363,405690
1364,410577
1365,403239
1366,377789
1367,349691
1368,328197
1369,304441
1370,284232
1371,275157
1372,271261
1373,268093
1374,275291
1375,288619
1376,301262
1377,336680
1378,367649
1379,374999
1380,373571
1381,374684
1382,364916
1383,346394
1384,337785
1385,335604
1386,342243
1387,370213
1388,384459
1389,385555
1390,367162
1391,340398
1392,311795
1393,285293
1394,264386
1395,254612
1396,249140
1397,249866
1398,253213
1399,256039
1400,263811
1401,293575
1402,318467
1403,329834
1404,330129
