t,water
467,2138000
468,2138000
469,2137000
470,2138000
471,2138000
472,2136000
473,2137000
474,2136000
475,2137000
476,2137000
477,2137000
478,2137000
479,2139000
480,2138000
481,2138000
482,2139000
483,2138000
484,2138000
485,2139000
486,2137000
487,2138000
488,2139000
489,2138000
490,2139000
491,2139000
492,2137000
493,2138000
494,2137000
495,2137000
496,2137000
497,2137000
498,2136000
499,2135000
500,2138000
501,2136000
502,2137000
503,2138000
504,2137000
505,2139000
506,2138000
507,2137000
508,2138000
509,2138000
510,2138000
511,2138000
512,2138000
513,2138000
514,2138000
515,2140000
516,2160000
517,2157000
518,2154000
519,2147000
520,2137000
521,2138000
522,2138000
523,2138000
524,2137000
525,2138000
526,2138000
527,2138000
528,2140000
529,2141000
530,2141000
531,2141000
532,2139000
533,2139000
534,2140000
535,2140000
536,2138000
537,2140000
538,2140000
539,2140000
540,2139000
541,2139000
542,2139000
543,2140000
544,2139000
545,2139000
546,2139000
547,2139000
548,2139000
549,2139000
550,2139000
551,2140000
552,2139000
553,2139000
554,2140000
555,2140000
556,2140000
557,2139000
558,2140000
559,2140000
560,2140000
561,2139000
562,2140000
563,2140000
564,2141000
565,2141000
566,2141000
567,2141000
568,2141000
569,2141000
570,2141000
571,2141000
572,2141000
573,2141000
574,2141000
575,2142000
576,2142000
577,2142000
578,2142000
579,2142000
580,2143000
581,2143000
582,2143000
583,2143000
584,2143000
585,2144000
586,2142000
587,2144000
588,2144000
589,2144000
590,2143000
591,2142000
592,2143000
593,2144000
594,2143000
595,2142000
596,2143000
597,2144000
598,2143000
599,2142000
600,2143000
601,2143000
602,2143000
603,2142000
604,2142000
605,2143000
606,2143000
607,2142000
608,2141000
609,2142000
610,2141000
611,2138000
612,2138000
613,2138000
614,2138000
615,2138000
616,2138000
617,2139000
618,2139000
619,2138000
620,2138000
621,2139000
622,2139000
623,2139000
624,2139000
625,2139000
626,2139000
627,2138000
628,2139000
629,2139000
630,2139000
631,2139000
632,2138000
633,2139000
634,2139000
635,2138000
636,2137000
637,2137000
638,2137000
639,2137000
640,2136000
641,2136000
642,2137000
643,2136000
644,2136000
645,2136000
646,2136000
647,2136000
648,2136000
649,2136000
650,2136000
651,2136000
652,2135000
653,2136000
654,2136000
655,2136000
656,2135000
657,2135000
658,2136000
659,2136000
660,2136000
661,2135000
662,2136000
663,2136000
664,2136000
665,2135000
666,2135000
667,2135000
668,2135000
669,2134000
670,2135000
671,2135000
672,2135000
673,2135000
674,2135000
675,2135000
676,2136000
677,2135000
678,2136000
679,2136000
680,2136000
681,2136000
682,2136000
683,2136000
684,2136000
685,2136000
686,2136000
687,2136000
688,2137000
689,2137000
690,2135000
691,2136000
692,2136000
693,2136000
694,2136000
695,2136000
696,2137000
697,2137000
698,2136000
699,2137000
700,2139000
701,2138000
702,2137000
703,2138000
704,2138000
705,2139000
706,2139000
707,2139000
708,2139000
709,2140000
710,2140000
711,2140000
712,2141000
713,2142000
714,2141000
715,2141000
716,2142000
717,2142000
718,2143000
719,2142000
720,2143000
721,2143000
722,2143000
723,2143000
724,2144000
725,2144000
726,2145000
727,2145000
728,2145000
729,2145000
730,2145000
731,2145000
732,2145000
733,2146000
734,2146000
735,2146000
736,2145000
737,2146000
738,2146000
739,2146000
740,2146000
741,2147000
742,2148000
743,2148000
744,2148000
745,2149000
746,2149000
747,2148000
748,2148000
749,2149000
750,2150000
751,2150000
752,2149000
753,2150000
754,2150000
755,2151000
756,2150000
757,2151000
758,2152000
759,2152000
760,2151000
761,2151000
762,2151000
763,2151000
764,2151000
765,2151000
766,2152000
767,2152000
768,2152000
769,2152000
770,2154000
771,2154000
772,2154000
773,2154000
774,2154000
775,2155000
776,2155000
777,2155000
778,2155000
779,2156000
780,2157000
781,2157000
782,2157000
783,2157000
784,2158000
